src_name,dst_name,classification
ip_maf_kgh_max_diag_sa__fac_amp,ip_maf_kgh_max_diag_sa__fac_amp,DIRECT_COPY
ip_maf_lam_cat_max__n,ip_maf_lam_cat_max__n,DIRECT_COPY
ip_maf_lam_cat_min__n,ip_maf_lam_cat_min__n,DIRECT_COPY
ip_maf_lam_dly_i_max__n,ip_maf_lam_dly_i_max__n,DIRECT_COPY
ip_maf_lam_dly_i_min__n,ip_maf_lam_dly_i_min__n,DIRECT_COPY
ip_maf_max_diag_sa__n,ip_maf_max_diag_sa__n,DIRECT_COPY
ip_maf_max_isa__pq_turb_sys,ip_maf_max_isa__pq_turb_sys,DIRECT_COPY
ip_maf_min_cop__n__iga_dif,ip_maf_min_cop__n__iga_dif,DIRECT_COPY
ip_maf_min_diag_sa__fac_amp,ip_maf_min_diag_sa__fac_amp,DIRECT_COPY
ip_maf_min_er__n_32,ip_maf_min_er__n_32,DIRECT_COPY
ip_maf_min_knk__n__tco,ip_maf_min_knk__n__tco,DIRECT_COPY
ip_maf_mmv_pu__n,ip_maf_mmv_pu__n,DIRECT_COPY
ip_maf_tco_cor__tco,ip_maf_tco_cor__tco,DIRECT_COPY
ip_maf_ti_ad_max__n,ip_maf_ti_ad_max__n,DIRECT_COPY
ip_maf_ti_ad_min__n,ip_maf_ti_ad_min__n,DIRECT_COPY
ip_maf_vo_1__map__n,ip_maf_vo_1__map__n,DIRECT_COPY
ip_maf_vo_2__map__n,ip_maf_vo_2__map__n,DIRECT_COPY
ip_maf_vo_3__map__n,ip_maf_vo_3__map__n,DIRECT_COPY
ip_maf_vo_4__map__n,ip_maf_vo_4__map__n,DIRECT_COPY
ip_maf_vo_5__map__n,ip_maf_vo_5__map__n,DIRECT_COPY
ip_maf_vo_6__map__n,ip_maf_vo_6__map__n,DIRECT_COPY
ip_maf_vo_7__map__n,ip_maf_vo_7__map__n,DIRECT_COPY
ip_maf_vo_8__map__n,ip_maf_vo_8__map__n,DIRECT_COPY
ip_map_ini_ast__tco,ip_map_ini_ast__tco,DIRECT_COPY
ip_mis_a_fac__n__maf,ip_mis_a_fac__n__maf,DIRECT_COPY
ip_mis_fac_thd_iv_er__n_32,ip_mis_fac_thd_iv_er__n_32,DIRECT_COPY
ip_n_ecf__tco_ex,ip_n_ecf__tco_ex,DIRECT_COPY
ip_n_ecf_temp_cat__temp_cat,ip_n_ecf_temp_cat__temp_cat,DIRECT_COPY
ip_n_ecf_vs_cor__vs,ip_n_ecf_vs_cor__vs,DIRECT_COPY
ip_n_max_inf__tco,ip_n_max_inf__tco,DIRECT_COPY
ip_n_max_tol_st__tco,ip_n_max_tol_st__tco,DIRECT_COPY
ip_n_min_accin_puc__tco,ip_n_min_accin_puc__tco,DIRECT_COPY
ip_n_min_diag_sa__fac_amp,ip_n_min_diag_sa__fac_amp,DIRECT_COPY
ip_n_min_puc__tco,ip_n_min_puc__tco,DIRECT_COPY
ip_n_perc_ecf__n_ecf_cor_fil,ip_n_perc_ecf__n_ecf_cor_fil,DIRECT_COPY
